method,num_episodes,accuracy,exact_match,mcq_accuracy,repair_coverage,repair_success_rate,num_changed_repairs,average_trajectory_length,average_input_tokens,average_output_tokens,retrieval_hit_usefulness_proxy,graph_num_nodes,graph_num_edges,training_data_size_by_role::single_agent,dataset_accuracy::unknown,dataset_count::unknown,training_data_size_by_role::planner,training_data_size_by_role::solver,training_data_size_by_role::verifier,training_data_size_by_role::summarizer
single_agent,5,1.0,1.0,0.0,0.0,0.0,0,1.0,34.8,2.0,0.0,0,0,5,1.0,5,,,,
static_multi_agent,5,1.0,1.0,0.0,0.0,0.0,0,4.0,274.8,33.8,0.0,0,0,,1.0,5,5,5,5,5
sirius_lite,5,1.0,1.0,0.0,0.0,0.0,0,4.0,274.8,33.8,0.0,0,0,,1.0,5,5,5,5,5
ours_full,5,1.0,1.0,0.0,0.0,0.0,0,4.0,323.0,33.8,1.0,20,64,,1.0,5,5,5,5,5
