method,num_episodes,accuracy,exact_match,mcq_accuracy,repair_coverage,repair_success_rate,average_trajectory_length,average_input_tokens,average_output_tokens,retrieval_hit_usefulness_proxy,graph_num_nodes,graph_num_edges,training_data_size_by_role::single_agent,training_data_size_by_role::planner,training_data_size_by_role::solver,training_data_size_by_role::verifier,training_data_size_by_role::summarizer
single_agent,5,1.0,1.0,0.0,0.0,0.0,1.0,17.8,2.0,0.0,0,0,5,,,,
static_multi_agent,5,1.0,1.0,0.0,0.0,0.0,4.0,179.8,33.8,0.0,0,0,,5,5,5,5
sirius_lite,5,1.0,1.0,0.0,0.0,0.0,4.0,179.8,33.8,0.0,0,0,,5,5,5,5
ours_wo_graph,5,1.0,1.0,0.0,0.0,0.0,4.0,179.8,33.8,0.0,0,0,,5,5,5,5
ours_wo_selective_repair,5,1.0,1.0,0.0,0.0,0.0,4.0,349.0,33.8,1.0,20,60,,5,5,5,5
trajectory_level_credit,5,1.0,1.0,0.0,0.0,0.0,4.0,179.8,33.8,0.0,0,0,,5,5,5,5
repair_only,5,1.0,1.0,0.0,0.0,0.0,4.0,179.8,33.8,0.0,0,0,,5,5,5,5
offline_sft_only,5,1.0,1.0,0.0,0.0,0.0,4.0,179.8,33.8,0.0,0,0,,5,5,5,5
ours_full,5,1.0,1.0,0.0,0.0,0.0,4.0,349.0,33.8,1.0,20,60,,5,5,5,5
