method,num_episodes,accuracy,exact_match,mcq_accuracy,repair_coverage,repair_success_rate,num_changed_repairs,repair_flip_to_success,average_trajectory_length,average_input_tokens,average_output_tokens,retrieval_hit_usefulness_proxy,graph_num_nodes,graph_num_edges,training_data_size_by_role::single_agent,dataset_accuracy::commonsense_qa,dataset_count::commonsense_qa,dataset_accuracy::ai2_arc,dataset_count::ai2_arc,dataset_accuracy::boolq,dataset_count::boolq,dataset_accuracy::pubmed_qa,dataset_count::pubmed_qa,category_accuracy::commonsense,category_accuracy::science_mcq,category_accuracy::reading_comprehension_yesno,category_accuracy::biomedical_qa,training_data_size_by_role::planner,training_data_size_by_role::solver,training_data_size_by_role::verifier,training_data_size_by_role::summarizer,repair_target_count::solver,repair_target_count::verifier
single_agent,400,0.42,0.105,0.42,0.0,0.0,0,0,1.0,186.0525,97.265,0.0,0,0,400,0.55,100,0.33,100,0.43,100,0.37,100,0.55,0.33,0.43,0.37,,,,,,
static_multi_agent,400,0.6825,0.3175,0.6825,0.0,0.0,0,0,4.0,1752.0825,248.5375,0.0,0,0,,0.72,100,0.71,100,0.64,100,0.66,100,0.72,0.71,0.64,0.66,400,400,400,400,,
sirius_lite,400,0.7875,0.36,0.7875,0.0,0.0,0,0,4.0,2054.33,256.5275,0.0,0,0,,0.81,100,0.8,100,0.75,100,0.79,100,0.81,0.8,0.75,0.79,400,400,400,400,,
ours_wo_graph,400,0.7025,0.3275,0.7025,0.3425,0.1314,137,10,4.0,1858.435,251.4175,0.0,0,0,,0.76,100,0.72,100,0.64,100,0.69,100,0.76,0.72,0.64,0.69,400,400,400,400,129,8
ours_wo_selective_repair,400,0.68,0.34,0.68,0.0,0.0,0,0,4.0,1907.1825,250.83,0.6896,1012,8370,,0.75,100,0.7,100,0.62,100,0.65,100,0.75,0.7,0.62,0.65,400,400,400,400,,
trajectory_level_credit,400,0.6775,0.3175,0.6775,0.0,0.0,0,0,4.0,1755.415,250.205,0.0,0,0,,0.72,100,0.71,100,0.62,100,0.66,100,0.72,0.71,0.62,0.66,400,400,400,400,,
repair_only,400,0.7025,0.3275,0.7025,0.3425,0.1314,137,10,4.0,1858.435,251.4175,0.0,0,0,,0.76,100,0.72,100,0.64,100,0.69,100,0.76,0.72,0.64,0.69,400,400,400,400,129,8
offline_sft_only,400,0.6775,0.3175,0.6775,0.0,0.0,0,0,4.0,1755.415,250.205,0.0,0,0,,0.72,100,0.71,100,0.62,100,0.66,100,0.72,0.71,0.62,0.66,400,400,400,400,,
ours_full,400,0.68,0.34,0.68,0.0,0.0,0,0,4.0,1907.1825,250.83,0.6896,1149,8507,,0.75,100,0.7,100,0.62,100,0.65,100,0.75,0.7,0.62,0.65,400,400,400,400,,
